Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsjö A;149560;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2021-01-31 23:59:59;309.576;64.9253;19.3744

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2016-04-01 00:00:01;2016-05-01 00:00:00;2016-04;1.0;Y
2016-05-01 00:00:01;2016-06-01 00:00:00;2016-05;8.9;Y
2016-06-01 00:00:01;2016-07-01 00:00:00;2016-06;12.1;Y
2016-07-01 00:00:01;2016-08-01 00:00:00;2016-07;15.3;Y
2016-08-01 00:00:01;2016-09-01 00:00:00;2016-08;11.6;Y
2016-09-01 00:00:01;2016-10-01 00:00:00;2016-09;9.4;Y
2016-10-01 00:00:01;2016-11-01 00:00:00;2016-10;2.1;Y
2016-11-01 00:00:01;2016-12-01 00:00:00;2016-11;-4.1;Y
2016-12-01 00:00:01;2017-01-01 00:00:00;2016-12;-4.7;Y
2017-01-01 00:00:01;2017-02-01 00:00:00;2017-01;-6.2;Y
2017-02-01 00:00:01;2017-03-01 00:00:00;2017-02;-6.7;Y
2017-03-01 00:00:01;2017-04-01 00:00:00;2017-03;-4.0;Y
2017-04-01 00:00:01;2017-05-01 00:00:00;2017-04;-0.7;Y
2017-05-01 00:00:01;2017-06-01 00:00:00;2017-05;5.1;Y
2017-06-01 00:00:01;2017-07-01 00:00:00;2017-06;11.3;Y
2017-07-01 00:00:01;2017-08-01 00:00:00;2017-07;13.4;Y
2017-08-01 00:00:01;2017-09-01 00:00:00;2017-08;11.6;Y
2017-09-01 00:00:01;2017-10-01 00:00:00;2017-09;7.8;Y
2017-10-01 00:00:01;2017-11-01 00:00:00;2017-10;2.0;Y
2017-11-01 00:00:01;2017-12-01 00:00:00;2017-11;-4.8;Y
2017-12-01 00:00:01;2018-01-01 00:00:00;2017-12;-6.5;Y
2018-01-01 00:00:01;2018-02-01 00:00:00;2018-01;-10.2;Y
2018-02-01 00:00:01;2018-03-01 00:00:00;2018-02;-13.3;Y
2018-03-01 00:00:01;2018-04-01 00:00:00;2018-03;-8.6;Y
2018-05-01 00:00:01;2018-06-01 00:00:00;2018-05;11.4;Y
2018-06-01 00:00:01;2018-07-01 00:00:00;2018-06;11.2;Y
2018-07-01 00:00:01;2018-08-01 00:00:00;2018-07;18.6;Y
2018-08-01 00:00:01;2018-09-01 00:00:00;2018-08;13.1;Y
2018-09-01 00:00:01;2018-10-01 00:00:00;2018-09;8.4;Y
2018-10-01 00:00:01;2018-11-01 00:00:00;2018-10;2.4;Y
2018-11-01 00:00:01;2018-12-01 00:00:00;2018-11;-1.4;Y
2018-12-01 00:00:01;2019-01-01 00:00:00;2018-12;-7.3;Y
2019-01-01 00:00:01;2019-02-01 00:00:00;2019-01;-13.7;Y
2019-02-01 00:00:01;2019-03-01 00:00:00;2019-02;-7.5;Y
2019-03-01 00:00:01;2019-04-01 00:00:00;2019-03;-4.6;Y
2019-04-01 00:00:01;2019-05-01 00:00:00;2019-04;3.0;Y
2019-05-01 00:00:01;2019-06-01 00:00:00;2019-05;6.2;Y
2019-06-01 00:00:01;2019-07-01 00:00:00;2019-06;13.6;Y
2019-07-01 00:00:01;2019-08-01 00:00:00;2019-07;14.7;Y
2019-08-01 00:00:01;2019-09-01 00:00:00;2019-08;13.5;Y
2019-09-01 00:00:01;2019-10-01 00:00:00;2019-09;6.9;Y
2019-10-01 00:00:01;2019-11-01 00:00:00;2019-10;-0.5;Y
2019-11-01 00:00:01;2019-12-01 00:00:00;2019-11;-6.5;Y
2019-12-01 00:00:01;2020-01-01 00:00:00;2019-12;-4.7;Y
2020-01-01 00:00:01;2020-02-01 00:00:00;2020-01;-3.4;Y
2020-02-01 00:00:01;2020-03-01 00:00:00;2020-02;-6.5;Y
2020-04-01 00:00:01;2020-05-01 00:00:00;2020-04;0.7;Y
2020-05-01 00:00:01;2020-06-01 00:00:00;2020-05;4.9;Y
2020-06-01 00:00:01;2020-07-01 00:00:00;2020-06;16.1;Y
2020-07-01 00:00:01;2020-08-01 00:00:00;2020-07;12.6;Y
2020-08-01 00:00:01;2020-09-01 00:00:00;2020-08;13.4;Y
2020-09-01 00:00:01;2020-10-01 00:00:00;2020-09;8.5;Y
2020-10-01 00:00:01;2020-11-01 00:00:00;2020-10;3.1;Y
